MainUrl | Thu Aug 22 2024 15:37:25 GMT-0400 (Atlantic Standard Time) | ProcessThreeDSMethod |  |  | {"AuthorizationCode":"","AzulOrderId":"","CustomOrderId":"","DataVaultBrand":"","DataVaultExpiration":"","DataVaultToken":"","DateTime":"20240822153725","ErrorDescription":"VALIDATION_ERROR:ThreeDSMethodNotificationStatus","IsoCode":"","LotNumber":"","RRN":"","ResponseCode":"Error","ResponseMessage":"","Ticket":""}
MainUrl | Thu Aug 22 2024 15:38:11 GMT-0400 (Atlantic Standard Time) | ProcessThreeDSMethod |  |  | {"AuthorizationCode":"","AzulOrderId":"","CustomOrderId":"","DataVaultBrand":"","DataVaultExpiration":"","DataVaultToken":"","DateTime":"20240822153811","ErrorDescription":"VALIDATION_ERROR:ThreeDSMethodNotificationStatus","IsoCode":"","LotNumber":"","RRN":"","ResponseCode":"Error","ResponseMessage":"","Ticket":""}
MainUrl | Thu Aug 22 2024 15:54:20 GMT-0400 (Atlantic Standard Time) | ProcessThreeDSMethod |  |  | {"AuthorizationCode":"","AzulOrderId":"","CustomOrderId":"","DataVaultBrand":"","DataVaultExpiration":"","DataVaultToken":"","DateTime":"20240822155420","ErrorDescription":"VALIDATION_ERROR:ThreeDSMethodNotificationStatus","IsoCode":"","LotNumber":"","RRN":"","ResponseCode":"Error","ResponseMessage":"","Ticket":""}
MainUrl | Thu Aug 22 2024 15:54:43 GMT-0400 (Atlantic Standard Time) | ProcessThreeDSMethod |  |  | {"AuthorizationCode":"","AzulOrderId":"","CustomOrderId":"","DataVaultBrand":"","DataVaultExpiration":"","DataVaultToken":"","DateTime":"20240822155443","ErrorDescription":"VALIDATION_ERROR:ThreeDSMethodNotificationStatus","IsoCode":"","LotNumber":"","RRN":"","ResponseCode":"Error","ResponseMessage":"","Ticket":""}
MainUrl | Thu Aug 22 2024 15:55:48 GMT-0400 (Atlantic Standard Time) | ProcessThreeDSMethod |  |  | {"AuthorizationCode":"","AzulOrderId":"","CustomOrderId":"","DataVaultBrand":"","DataVaultExpiration":"","DataVaultToken":"","DateTime":"20240822155548","ErrorDescription":"VALIDATION_ERROR:ThreeDSMethodNotificationStatus","IsoCode":"","LotNumber":"","RRN":"","ResponseCode":"Error","ResponseMessage":"","Ticket":""}
MainUrl | Thu Aug 22 2024 15:57:40 GMT-0400 (Atlantic Standard Time) | ProcessThreeDSMethod |  |  | {"AuthorizationCode":"","AzulOrderId":"","CustomOrderId":"","DataVaultBrand":"","DataVaultExpiration":"","DataVaultToken":"","DateTime":"20240822155740","ErrorDescription":"VALIDATION_ERROR:ThreeDSMethodNotificationStatus","IsoCode":"","LotNumber":"","RRN":"","ResponseCode":"Error","ResponseMessage":"","Ticket":""}
MainUrl | Thu Aug 22 2024 16:01:00 GMT-0400 (Atlantic Standard Time) | ProcessThreeDSMethod |  |  | {"AuthorizationCode":"","AzulOrderId":"","CustomOrderId":"","DataVaultBrand":"","DataVaultExpiration":"","DataVaultToken":"","DateTime":"20240822160100","ErrorDescription":"VALIDATION_ERROR:ThreeDSMethodNotificationStatus","IsoCode":"","LotNumber":"","RRN":"","ResponseCode":"Error","ResponseMessage":"","Ticket":""}
MainUrl | Thu Aug 22 2024 16:06:20 GMT-0400 (Atlantic Standard Time) | ProcessThreeDSMethod |  |  | {"AuthorizationCode":"","AzulOrderId":"","CustomOrderId":"","DataVaultBrand":"","DataVaultExpiration":"","DataVaultToken":"","DateTime":"20240822160620","ErrorDescription":"VALIDATION_ERROR:ThreeDSMethodNotificationStatus","IsoCode":"","LotNumber":"","RRN":"","ResponseCode":"Error","ResponseMessage":"","Ticket":""}
MainUrl | Thu Aug 22 2024 16:08:22 GMT-0400 (Atlantic Standard Time) | ProcessThreeDSMethod |  |  | {"AuthorizationCode":"","AzulOrderId":"","CustomOrderId":"","DataVaultBrand":"","DataVaultExpiration":"","DataVaultToken":"","DateTime":"20240822160823","ErrorDescription":"VALIDATION_ERROR:ThreeDSMethodNotificationStatus","IsoCode":"","LotNumber":"","RRN":"","ResponseCode":"Error","ResponseMessage":"","Ticket":""}
MainUrl | Thu Aug 22 2024 16:10:03 GMT-0400 (Atlantic Standard Time) | ProcessThreeDSMethod |  |  | {"AuthorizationCode":"","AzulOrderId":"","CustomOrderId":"","DataVaultBrand":"","DataVaultExpiration":"","DataVaultToken":"","DateTime":"20240822161003","ErrorDescription":"VALIDATION_ERROR:ThreeDSMethodNotificationStatus","IsoCode":"","LotNumber":"","RRN":"","ResponseCode":"Error","ResponseMessage":"","Ticket":""}
MainUrl | Thu Aug 22 2024 16:10:33 GMT-0400 (Atlantic Standard Time) | ProcessThreeDSMethod |  |  | {"AuthorizationCode":"","AzulOrderId":"","CustomOrderId":"","DataVaultBrand":"","DataVaultExpiration":"","DataVaultToken":"","DateTime":"20240822161034","ErrorDescription":"VALIDATION_ERROR:ThreeDSMethodNotificationStatus","IsoCode":"","LotNumber":"","RRN":"","ResponseCode":"Error","ResponseMessage":"","Ticket":""}
MainUrl | Thu Aug 22 2024 16:13:03 GMT-0400 (Atlantic Standard Time) | ProcessThreeDSMethod |  |  | {"AuthorizationCode":"","AzulOrderId":"","CustomOrderId":"","DataVaultBrand":"","DataVaultExpiration":"","DataVaultToken":"","DateTime":"20240822161304","ErrorDescription":"VALIDATION_ERROR:ThreeDSMethodNotificationStatus","IsoCode":"","LotNumber":"","RRN":"","ResponseCode":"Error","ResponseMessage":"","Ticket":""}
MainUrl | Thu Aug 22 2024 16:14:42 GMT-0400 (Atlantic Standard Time) | ProcessThreeDSMethod |  |  | {"AuthorizationCode":"","AzulOrderId":"","CustomOrderId":"","DataVaultBrand":"","DataVaultExpiration":"","DataVaultToken":"","DateTime":"20240822161442","ErrorDescription":"VALIDATION_ERROR:ThreeDSMethodNotificationStatus","IsoCode":"","LotNumber":"","RRN":"","ResponseCode":"Error","ResponseMessage":"","Ticket":""}
MainUrl | Thu Aug 22 2024 16:53:18 GMT-0400 (Atlantic Standard Time) | ProcessThreeDSMethod |  |  | {"AuthorizationCode":"","AzulOrderId":"","CustomOrderId":"","DataVaultBrand":"","DataVaultExpiration":"","DataVaultToken":"","DateTime":"20240822165319","ErrorDescription":"VALIDATION_ERROR:ThreeDSMethodNotificationStatus","IsoCode":"","LotNumber":"","RRN":"","ResponseCode":"Error","ResponseMessage":"","Ticket":""}
