MainUrl | Wed Aug 14 2024 10:25:11 GMT-0400 (Atlantic Standard Time) | Sale | LZTY16HV | LZTY16HV | {"AuthorizationCode":"","AzulOrderId":"44436876","CustomOrderId":"LZTY16HV","DateTime":"20240814102509","ErrorDescription":"SGS-050655: Unable to verify card enrollment","IsoCode":"99","LotNumber":"","RRN":"","ResponseCode":"ISO8583","ResponseMessage":"ERROR","Ticket":""}
MainUrl | Wed Aug 14 2024 10:25:37 GMT-0400 (Atlantic Standard Time) | Sale | LZTY1QPR | LZTY1QPR | {"AuthorizationCode":"","AzulOrderId":"44436877","CustomOrderId":"LZTY1QPR","DateTime":"20240814102535","ErrorDescription":"SGS-050655: Unable to verify card enrollment","IsoCode":"99","LotNumber":"","RRN":"","ResponseCode":"ISO8583","ResponseMessage":"ERROR","Ticket":""}
MainUrl | Wed Aug 14 2024 10:34:56 GMT-0400 (Atlantic Standard Time) | Sale | LZTYDPZ4 | LZTYDPZ4 | {"AuthorizationCode":"","AzulOrderId":"44436879","CustomOrderId":"LZTYDPZ4","DateTime":"20240814103454","ErrorDescription":"SGS-050655: Unable to verify card enrollment","IsoCode":"99","LotNumber":"","RRN":"","ResponseCode":"ISO8583","ResponseMessage":"ERROR","Ticket":""}
MainUrl | Wed Aug 14 2024 10:35:41 GMT-0400 (Atlantic Standard Time) | Sale | LZTYENZM | LZTYENZM | {"AuthorizationCode":"OK9041","AzulOrderId":"44436881","CustomOrderId":"LZTYENZM","DateTime":"20240814103538","ErrorDescription":"","IsoCode":"00","LotNumber":"","RRN":"2024081410354144436881","ResponseCode":"ISO8583","ResponseMessage":"APROBADA","Ticket":"1"}
MainUrl | Wed Aug 14 2024 10:36:24 GMT-0400 (Atlantic Standard Time) | Sale | LZTYFL4S | LZTYFL4S | {"AuthorizationCode":"OK9391","AzulOrderId":"44436882","CustomOrderId":"LZTYFL4S","DateTime":"20240814103621","ErrorDescription":"","IsoCode":"00","LotNumber":"","RRN":"2024081410362444436882","ResponseCode":"ISO8583","ResponseMessage":"APROBADA","Ticket":"1"}
MainUrl | Wed Aug 14 2024 10:37:55 GMT-0400 (Atlantic Standard Time) | Sale | LZTYHJ8M | LZTYHJ8M | {"AuthorizationCode":"OK9961","AzulOrderId":"44436883","CustomOrderId":"LZTYHJ8M","DateTime":"20240814103752","ErrorDescription":"","IsoCode":"00","LotNumber":"","RRN":"2024081410375544436883","ResponseCode":"ISO8583","ResponseMessage":"APROBADA","Ticket":"1"}
MainUrl | Wed Aug 14 2024 10:38:28 GMT-0400 (Atlantic Standard Time) | Sale | LZTYI95C | LZTYI95C | {"AuthorizationCode":"OK0161","AzulOrderId":"44436884","CustomOrderId":"LZTYI95C","DateTime":"20240814103826","ErrorDescription":"","IsoCode":"00","LotNumber":"","RRN":"2024081410382844436884","ResponseCode":"ISO8583","ResponseMessage":"APROBADA","Ticket":"1"}
MainUrl | Wed Aug 14 2024 10:38:44 GMT-0400 (Atlantic Standard Time) | Sale | LZTYILJ6 | LZTYILJ6 | {"AuthorizationCode":"OK0261","AzulOrderId":"44436885","CustomOrderId":"LZTYILJ6","DateTime":"20240814103842","ErrorDescription":"","IsoCode":"00","LotNumber":"","RRN":"2024081410384544436885","ResponseCode":"ISO8583","ResponseMessage":"APROBADA","Ticket":"1"}
MainUrl | Wed Aug 14 2024 10:39:10 GMT-0400 (Atlantic Standard Time) | Sale | LZTYJ500 | LZTYJ500 | {"AuthorizationCode":"OK0401","AzulOrderId":"44436886","CustomOrderId":"LZTYJ500","DateTime":"20240814103907","ErrorDescription":"","IsoCode":"00","LotNumber":"","RRN":"2024081410391044436886","ResponseCode":"ISO8583","ResponseMessage":"APROBADA","Ticket":"1"}
MainUrl | Wed Aug 14 2024 10:48:46 GMT-0400 (Atlantic Standard Time) | Sale | LZTYVH7K | LZTYVH7K | {"AuthorizationCode":"OK4491","AzulOrderId":"44436887","CustomOrderId":"LZTYVH7K","DateTime":"20240814104843","ErrorDescription":"","IsoCode":"00","LotNumber":"","RRN":"2024081410484644436887","ResponseCode":"ISO8583","ResponseMessage":"APROBADA","Ticket":"1"}
MainUrl | Wed Aug 14 2024 11:27:36 GMT-0400 (Atlantic Standard Time) | Sale | LZU09FH1 | LZU09FH1 | {"AuthorizationCode":"","AzulOrderId":"44436927","CustomOrderId":"LZU09FH1","DateTime":"20240814112734","ErrorDescription":"SGS-050655: Unable to verify card enrollment","IsoCode":"99","LotNumber":"","RRN":"","ResponseCode":"ISO8583","ResponseMessage":"ERROR","Ticket":""}
